P50x_pft1,ax_pft1,P50_gs_pft1,FDrought_pft1,Drought_Threshold_pft1,Vc_max25_pft1,LNCm_pft1,LMR_pft1,WD_pft1,LMA_pft1,Al2As_pft1,Amax_pft1,stem_Kl_pft1,stem_ks_pft1,bmort_pft1,mort_disturb_frac_pft1,comp_excln_pft1,P50x_pft2,ax_pft2,P50_gs_pft2,FDrought_pft2,Drought_Threshold_pft2,Vc_max25_pft2,LNCm_pft2,LMR_pft2,PFT_pft2,WD_pft2,LMA_pft2,Al2As_pft2,Amax_pft2,stem_Kl_pft2,stem_ks_pft2,bmort_pft2,mort_disturb_frac_pft2,comp_excln_pft2
-1.683607118,3.564674702,-2.634933649,1,0.235533724,76.43068636,0.032172814,0.007018821,0.579174053,47.60276205,1.332716737,10.18675577,1.56132632606112e-05,0.208080573,0.008085955,0.37380186,3.984949544,-2.635109202,4.652327494,-1.037566107,0.202412745,0.035596291,26.41621259,0.026231261,0.005722612,2,0.419208297,59.87282066,0.491833597,3.179446052,0.000700842,3.446978145,0.163136601,0.293532788,2.363892172
-1.800972299,1.178376109,-2.615386052,1,0.13180496,44.92307648,0.024188159,0.005276889,0.507844317,59.74247458,0.851387302,5.631630581,3.87372969426168e-05,0.329804427,0.172576556,0.752575769,3.019595808,-0.528457885,0.5,-0.70985247,0.240770877,0.200524682,65.91512377,0.027690205,0.006040895,2,0.420790546,55.29552754,0.830629879,8.615959161,0.000939801,7.806268061,0.058971126,0.256629411,0.945152112
-2.74985972,4.64527159,-2.706751457,1,0.127014083,49.38983709,0.035639972,0.007775216,0.53015415,47.02779777,0.89373292,6.249167934,0.001352017,12.08342063,0.117348677,0.694639798,2.772907683,-2.315218531,4.499689932,-2.176916256,0.52830148,0.093282993,64.94536263,0.037857316,0.008258952,2,0.457967641,45.48792219,0.123954574,8.473586644,0.000613821,0.760858643,0.187525485,0.994022596,1.72846658
-3.845522855,4.625294428,-2.615266535,1,0.122309143,37.26738235,0.031752615,0.006927151,0.511312285,65.40379176,0.783533326,4.596071975,1e-04,0.783533326,0.152052433,0.9498582,1.243513429,-2.006231707,2.651392779,-0.88683807,0.942262117,0.200764664,39.70198944,0.028030425,0.006115118,2,0.474966476,46.25124827,1.029944263,4.922218176,0.000382367,3.938163344,0.08758017,0.944752222,1.485100323
-0.69811704,0.5,-0.893129528,1,0.09899454,22.27275773,0.024122247,0.005262509,0.587396749,49.67785459,0.555069743,2.654909464,0.000342277,1.899878323,0.183768248,0.924810812,1.366227442,-0.661346608,5.880029127,-1.631136481,0.531902203,0.186476749,59.27224219,0.035191873,0.007677459,2,0.411445148,42.13902336,0.82871212,7.649294371,1e-04,0.82871212,0.153529818,0.188334817,3.646542227
-0.3,4.525828791,-1.450434837,1,0.057701099,50.18632002,0.023407445,0.005106568,0.570517265,77.46405168,1.419108238,6.360296591,1e-04,1.419108238,0.177361456,0.255004857,1.968801685,-0.528457885,0.5,-0.70985247,0.240770877,0.200524682,65.91512377,0.027690205,0.006040895,2,0.420790546,55.29552754,0.830629879,8.615959161,0.000939801,7.806268061,0.058971126,0.256629411,0.945152112
-3.498123628,1.513406361,-1.377673421,1,0.255044732,63.66747269,0.033206246,0.007244275,0.561549152,45.79952856,1.193894781,8.286628359,1e-04,1.193894781,0.172013956,0.050795259,0.363376944,-1.320239077,3.433305069,-1.850707392,0.291676733,0.268220825,36.16426407,0.026211526,0.005718307,2,0.434613647,51.29001382,0.771733491,4.449282774,0.000142768,1.101789948,0.185037019,0.951384637,2.292397921
-3.498011301,3.110776085,-2.902565656,1,0.212921062,59.70187615,0.029965235,0.006537216,0.591573018,77.64633732,0.547721635,7.711201934,0.00040576,2.222434379,0.015886695,0.169714451,0.734636398,-2.915105479,0.938807607,-1.892411905,0.759573881,0.095498749,47.46787982,0.023402666,0.005105526,2,0.422273134,98.42590025,0.1,5.98226706,1e-04,0.1,0.035563682,0.77612332,3.770421384
-2.330899425,0.578195776,-3.720177063,1,0.096760271,37.56490589,0.019687102,0.004294938,0.594761154,88.24970427,0.945376011,4.635768462,1e-04,0.945376011,0.11601535,0.452529766,0.770823868,-1.799639039,3.692649067,-1.236669673,0.354573981,0.123901317,60.57543463,0.031211894,0.006809187,2,0.458926897,51.33807118,0.551546404,7.837339069,0.000542715,2.993322365,0.07369708,0.719693939,0.232590328
-2.505083806,2.695060241,-0.992924383,1,0.128552329,43.39105052,0.025780531,0.005624281,0.521189035,48.90733173,0.137398083,5.422068576,1e-04,0.137398083,0.014783683,0.583086557,1.729085589,-0.893943986,2.406203785,-2.362389977,0.626447847,0.110034482,37.36870948,0.031689066,0.006913287,2,0.434368408,73.1246543,1.027827073,4.60958631,0.000882375,9.069289444,0.155691248,0.376607032,3.549468624
-2.96386738,3.913014102,-1.703584938,1,0.208839945,63.28920134,0.03766655,0.008217335,0.584182617,40.26944873,1.226671174,8.231428857,4.3625338333916e-05,0.53513945,0.018228226,0.920863383,0.929261216,-1.774719895,2.180768002,-1.680596114,0.430410074,0.138579675,53.64260696,0.034529232,0.007532897,2,0.457013766,47.44661247,0.665005684,6.846043771,0.000793266,5.27526142,0.046673041,0.553459245,3.450407653
-1.508813185,2.402743759,-0.447028764,1,0.200411093,62.80304897,0.031070609,0.006778364,0.593404904,74.20934514,0.79043591,8.160582567,0.000154331,1.219889689,0.086278369,0.675090452,0.096893817,-0.849963631,3.765468352,-2.007878312,0.535688687,0.069720923,54.79060087,0.040464153,0.00882766,2,0.430621718,33.43091602,0.801567474,7.008636651,0.001060121,8.497588235,0.081209538,0.365782296,2.244008952
-0.883880572,0.776527012,-0.451826902,1,0.084751346,18.8368991,0.022453471,0.004898449,0.588962703,82.20499934,1.202259372,2.227023749,0.000369105,4.437600222,0.126969002,0.340992177,2.35569633,-0.353047683,4.111621141,-1.413212711,0.078417566,0.334171528,32.08156351,0.037714099,0.008227708,2,0.499164836,17.39561406,1.55862849,3.911426877,0.000556369,8.671727366,0.145412181,0.519714995,2.147189685
-1.984626005,5.932137135,-0.659336813,1,0.114321119,24.00564093,0.024838997,0.005418876,0.557409802,90.69125395,0.853735764,2.873156772,1e-04,0.853735764,0.086153846,0.53792149,3.827120734,-0.643961036,2.411494359,-0.334870193,0.840192334,0.046959524,57.81467456,0.026447708,0.005769832,2,0.421782185,51.07450118,1.02438698,7.439905255,0.001966949,20.14916692,0.110494057,0.579689567,1.577056681
-2.97348297,4.847433208,-2.154022219,1,0.04697794,22.24444137,0.02637196,0.005753307,0.585153906,54.38035444,1.186089067,2.651356695,1e-04,1.186089067,0.023324874,0.553841261,3.765053841,-2.667221997,2.28725714,-0.657065841,0.259935867,0.076873801,53.05863214,0.032953824,0.007189206,2,0.464655873,63.61605466,0.450333485,6.76357311,0.000455355,2.050617955,0.19643777,0.700558827,1.695059892
