P50x_pft1,ax_pft1,P50_gs_pft1,Drought_Threshold_pft1,Vc_max25_pft1,LNCm_pft1,LMR_pft1,WD_pft1,LMA_pft1,Al2As_pft1,Amax_pft1,stem_Kl_pft1,stem_ks_pft1,bmort_pft1,mort_disturb_frac_pft1,comp_excln_pft1,P50x_pft2,ax_pft2,P50_gs_pft2,FDrought_pft2,Drought_Threshold_pft2,Vc_max25_pft2,LNCm_pft2,LMR_pft2,WD_pft2,LMA_pft2,Al2As_pft2,Amax_pft2,stem_Kl_pft2,stem_ks_pft2,bmort_pft2,mort_disturb_frac_pft2,comp_excln_pft2
-1.717655346,3.58756873,-2.641944179,0.235533724,74.84868993,0.031735021,0.006923312,0.598257243,48.47946287,1.33012179,9.947316646,1e-04,1.33012179,0.008085955,0.37380186,3.984949544,-2.716246201,4.706884012,-1.054272215,0.202412745,0.035596291,22.64631168,0.025188,0.005495014,0.46468358,61.96200061,0.485649833,2.701818958,0.000570488,2.770572253,0.163136601,0.293532788,2.363892172
-1.823128194,1.193273732,-2.619947951,0.13180496,43.89363827,0.023903278,0.005214739,0.520262148,60.31296216,0.849698716,5.490689025,2.70054969158322e-06,0.022946536,0.172576556,0.752575769,3.019595808,-0.610462748,0.5,-0.726737272,0.240770877,0.200524682,62.10489896,0.026635785,0.005810863,0.466752245,57.40705393,0.824379972,8.059031046,0.00080494,6.635767216,0.058971126,0.256629411,0.945152112
-2.775735185,4.662670252,-2.712079215,0.127014083,48.187575,0.035307265,0.007702633,0.544656708,47.6940598,0.891760851,6.082001603,0.001309823,11.6804869,0.117348677,0.694639798,2.772907683,-2.417615038,4.568541344,-2.197999697,0.52830148,0.093282993,60.18767264,0.0365407,0.007971719,0.515358352,48.12450887,0.116150541,7.781304887,0.000445556,0.517516149,0.187525485,0.994022596,1.72846658
-3.868256941,4.640580827,-2.619947483,0.122309143,36.21107941,0.0314603,0.006863379,0.524054178,65.98916706,0.781800673,4.455499798,1e-04,0.781800673,0.152052433,0.9498582,1.243513429,-2.11795208,2.726513557,-0.909841294,0.942262117,0.200764664,34.51108095,0.026593922,0.00580173,0.537582984,49.12791325,1.021429623,4.23045974,0.000201447,2.057635761,0.08758017,0.944752222,1.485100323
-0.733536183,0.5,-0.900422329,0.09899454,20.62706391,0.023666827,0.005163155,0.607248302,50.58985483,0.552370314,2.449154885,0.000285488,1.57695201,0.183768248,0.924810812,1.366227442,-0.738225517,5.931722506,-1.646965849,0.531902203,0.186476749,55.70018659,0.034203362,0.007461805,0.454533877,44.11856264,0.822852881,7.137903913,1e-04,0.822852881,0.153529818,0.188334817,3.646542227
-0.3,4.525828791,-1.450434837,0.057701099,48.67138369,0.02298821,0.005015108,0.588791527,78.30358955,1.41662329,6.149188065,1e-04,1.41662329,0.177361456,0.255004857,1.968801685,-0.610462748,0.5,-0.726737272,0.240770877,0.200524682,62.10489896,0.026635785,0.005810863,0.466752245,57.40705393,0.824379972,8.059031046,0.00080494,6.635767216,0.058971126,0.256629411,0.945152112
-3.529233373,1.534324553,-1.384078917,0.255044732,62.22200815,0.032806236,0.007157008,0.578985395,46.600567,1.191523788,8.076049953,1e-04,1.191523788,0.172013956,0.050795259,0.363376944,-1.409825914,3.493543258,-1.869153322,0.291676733,0.268220825,32.00175496,0.025059617,0.005467006,0.484824854,53.5967669,0.764905733,3.900998595,1e-04,0.764905733,0.185037019,0.951384637,2.292397921
-3.534126725,3.135060097,-2.910001822,0.212921062,58.02383071,0.029500862,0.006435908,0.61181482,78.57626597,0.54496914,7.469891285,0.000346533,1.888495994,0.015886695,0.169714451,0.734636398,-2.997923542,0.994494472,-1.909464144,0.759573881,0.095498749,43.61987099,0.02233779,0.004873212,0.468690611,100.5583656,0.1,5.453294971,1e-04,0.1,0.035563682,0.77612332,3.770421384
-2.367546386,0.602837193,-3.727722672,0.096760271,35.86216345,0.019215894,0.004192139,0.615300869,89.19331935,0.942583005,4.409191024,1e-04,0.942583005,0.11601535,0.452529766,0.770823868,-1.9025617,3.761854264,-1.257861448,0.354573981,0.123901317,55.7932978,0.029888512,0.006520478,0.516612505,53.98820565,0.543702271,7.151158485,0.000373991,2.033396547,0.07369708,0.719693939,0.232590328
-2.529464577,2.711453871,-0.997944383,0.128552329,42.25823701,0.025467043,0.00555589,0.534853854,49.53510719,0.135539931,5.267858207,1e-04,0.135539931,0.014783683,0.583086557,1.729085589,-0.983396309,2.466351527,-2.38080821,0.626447847,0.110034482,33.21245034,0.030538886,0.006662363,0.484504224,75.42794382,1.021009566,4.059550467,0.000737677,7.531753121,0.155691248,0.376607032,3.549468624
